t,theta_r,theta
1.9,-0.3298672286269284,24.78367537831948
1.9,-0.2216568150032799,24.958208303518912
1.9,-0.11170107212763719,24.958208303518912
1.91,0.013962634015954586,25.132741228718345
1.91,0.20943951023931956,25.307274153917778
1.92,0.33161255787892263,25.48180707911721
1.92,0.4363323129985824,25.656340004316643
1.93,0.6632251157578453,25.830872929516076
1.93,0.8377580409572782,26.00540585471551
1.93,0.9424777960769379,26.00540585471551
1.94,1.0821041362364843,26.17993877991494
1.94,1.2217304763960306,26.354471705114378
1.95,1.361356816555577,26.52900463031381
1.95,1.4835298641951802,26.703537555513243
1.95,-4.6600291028248595,26.703537555513243
1.96,-4.520402762665314,26.878070480712676
1.96,-4.39822971502571,27.05260340591211
1.97,-4.258603374866164,27.22713633111154
1.97,-4.136430327226561,27.22713633111154
1.98,-4.014257279586958,27.401669256310974
1.98,-3.8920842319473548,27.576202181510407
1.98,-3.7699111843077517,27.576202181510407
1.99,-3.6302848441482056,27.75073510670984
1.99,-3.5081117965086026,27.925268031909273
2.0,-3.385938748868999,28.099800957108705
2.0,-3.288200310757317,28.099800957108705
2.0,-3.1730085801256913,28.274333882308138
2.01,-3.0525808617380825,28.44886680750757
2.01,-2.9112091923265417,28.44886680750757
2.02,-2.8099800957108707,28.623399732707004
2.02,-2.694788365079245,28.797932657906436
2.03,-2.5778513051956247,28.797932657906436
2.03,-2.4731315500759647,28.97246558310587
2.03,-2.363175807200322,28.97246558310587
2.04,-2.241002759560719,29.146998508305302
2.04,-2.113593724165133,29.321531433504738
2.05,-2.0001473227855016,29.49606435870417
2.05,-1.8954275676658419,29.49606435870417
2.05,-1.7201965107656112,29.670597283903604
2.06,-1.5954054692480166,29.845130209103036
2.06,-1.4507176742576868,30.01966313430247
2.07,-1.3002702927357754,30.194196059501902
2.07,-1.165879940332212,30.194196059501902
2.08,-1.0925761117484503,30.368728984701335
2.08,-0.9529497715889039,30.543261909900767
2.08,-0.8429940287132611,30.543261909900767
2.09,-0.7400196028455958,30.7177948351002
2.09,-0.5777039824101231,30.892327760299633
2.1,-0.3735004599267866,31.066860685499066
2.1,-0.32114058236695675,31.066860685499066
2.1,-0.17278759594743873,31.2413936106985
2.11,-0.02967059728390365,31.41592653589793
2.11,0.0593411945678073,31.41592653589793
2.12,0.24434609527920614,31.590459461097364
2.12,0.4188790204786391,31.764992386296797
2.13,0.4886921905584123,31.93952531149623
2.13,0.6108652381980153,32.11405823669566
2.13,0.8028514559173916,32.2885911618951
2.14,0.9424777960769379,32.2885911618951
2.14,1.0471975511965976,32.46312408709453
2.15,1.1693705988362009,32.637657012293964
2.15,1.2566370614359172,32.637657012293964
2.15,1.4660765716752369,32.81218993749339
2.16,-4.694935687864747,32.98672286269283
2.16,-4.590215932745087,33.16125578789226
2.17,-4.4505895925855405,33.16125578789226
2.17,-4.310963252425994,33.335788713091695
2.18,-4.2062434973063345,33.510321638291124
2.18,-4.049163864626845,33.68485456349056
2.18,-3.961897402027128,33.68485456349056
2.19,-3.822271061867582,33.85938748868999
2.19,-3.6826447217080354,34.033920413889426
2.2,-3.5779249665883754,34.033920413889426
2.2,-3.490658503988659,34.20845333908886
2.2,-3.3335788713091694,34.38298626428829
2.21,-3.1747539093776855,34.55751918948773
2.21,-3.0700341542580256,34.55751918948773
2.22,-3.0264009229581674,34.73205211468716
2.22,-2.956587752878394,34.73205211468716
2.23,-2.8501226685067405,34.90658503988659
2.23,-2.77332818141899,34.90658503988659
2.23,-2.6371924997634317,35.08111796508602
2.24,-2.4870941840919194,35.25565089028546
2.24,-2.4085543677521746,35.25565089028546
2.25,-2.3352505391684133,35.43018381548489
2.25,-2.2706733568446227,35.43018381548489
2.25,-2.151990967709008,35.604716740684324
2.26,-2.050761871093337,35.604716740684324
2.26,-1.9355701404617116,35.77924966588375
2.27,-1.8011797880581482,35.95378259108319
2.27,-1.631882850614698,36.12831551628262
2.28,-1.4915583787543538,36.12831551628262
2.28,-1.3596114873035827,36.302848441482055
2.28,-1.1623892818282233,36.477381366681485
2.29,-1.0768681484805014,36.65191429188092
2.29,-1.0035643198967394,36.65191429188092
2.3,-0.8831366015091308,36.82644721708035
2.3,-0.7661995416255106,37.000980142279786
2.3,-0.640535835481919,37.000980142279786
2.31,-0.5288347633542818,37.17551306747922
2.31,-0.3892084231947354,37.35004599267865
2.32,-0.2513274122871835,37.52457891787809
2.32,-0.13962634015954636,37.52457891787809
2.33,-0.020943951023932005,37.69911184307752
2.33,0.07330382858376189,37.69911184307752
2.33,0.22689280275926285,37.873644768276954
2.34,0.3665191429188092,38.04817769347638
2.34,0.4363323129985824,38.22271061867582
2.35,0.6108652381980153,38.39724354387525
2.35,0.7504915783575618,38.39724354387525
2.35,0.8901179185171081,38.571776469074685
2.36,1.0122909661567112,38.746309394274114
2.36,1.0995574287564276,38.746309394274114
2.37,1.2042771838760873,38.92084231947355
2.37,1.3788101090755203,39.09537524467298
2.38,1.4835298641951802,39.09537524467298
2.38,-4.6774823953448035,39.269908169872416
2.38,-4.572762640225143,39.444441095071845
2.39,-4.4505895925855405,39.61897402027128
2.39,-4.310963252425994,39.61897402027128
2.4,-4.118977034706618,39.79350694547071
2.4,-3.9793506945470716,39.96803987067015
2.4,-3.9095375244672983,40.14257279586958
2.41,-3.822271061867582,40.14257279586958
2.41,-3.717551306747922,40.31710572106901
2.42,-3.595378259108319,40.31710572106901
2.42,-3.5081117965086026,40.49163864626845
2.43,-3.351032163829113,40.66617157146788
2.43,-3.2480577379614473,40.66617157146788
2.43,-3.155555287605748,40.840704496667314
2.44,-3.0909781052819576,40.840704496667314
2.44,-3.0159289474462017,41.01523742186674
2.45,-2.9530970943744053,41.01523742186674
2.45,-2.8693212902786778,41.18977034706618
2.45,-2.769837522915001,41.18977034706618
2.46,-2.6790804018112957,41.36430327226561
2.46,-2.569124658935653,41.36430327226561
2.47,-2.4888395133439136,41.538836197465045
2.47,-2.4085543677521746,41.538836197465045
2.48,-2.3369958684204075,41.713369122664474
2.48,-2.2497294058206907,41.713369122664474
2.48,-2.1450096507010312,41.88790204786391
2.49,-2.029817920069405,41.88790204786391
2.49,-1.9355701404617116,42.06243497306334
2.5,-1.8291050560900572,42.236967898262776
2.5,-1.6997761585172775,42.236967898262776
2.5,-1.5639895427121187,42.411500823462205
2.51,-1.4465288840529003,42.58603374866164
2.51,-1.3020156219877697,42.76056667386107
2.52,-1.0838494654884787,42.93509959906051
2.52,-1.0943214410004447,42.93509959906051
2.53,-1.0227629416686772,42.93509959906051
2.53,-0.905825881785057,43.109632524259936
2.53,-0.7941248096574199,43.109632524259936
2.54,-0.6841690667817772,43.28416544945937
2.54,-0.5654866776461628,43.45869837465881
2.55,-0.4276056667386107,43.63323129985824
2.55,-0.3455751918948772,43.63323129985824
2.55,-0.2652900463031381,43.63323129985824
2.56,-0.12566370614359176,43.807764225057674
2.56,-0.010471975511965877,43.982297150257104
2.57,0.0767944870877506,43.982297150257104
2.57,0.19198621771937624,44.15683007545654
2.58,0.3141592653589793,44.33136300065597
2.58,0.4537856055185257,44.505895925855405
2.58,0.5759586531581288,44.505895925855405
2.59,0.6981317007977318,44.680428851054835
2.59,0.8203047484373349,44.85496177625427
2.6,0.9599310885968813,44.85496177625427
2.6,1.0471975511965976,45.0294947014537
2.6,1.1519173063162575,45.20402762665314
2.61,1.239183768915974,45.20402762665314
2.61,1.3439035240356338,45.378560551852566
2.62,1.4660765716752369,45.378560551852566
2.62,-4.694935687864747,45.553093477052
2.63,-4.572762640225143,45.72762640225143
2.63,-4.485496177625427,45.72762640225143
2.63,-4.363323129985824,45.90215932745087
2.64,-4.223696789826278,46.0766922526503
2.64,-4.101523742186674,46.25122517784973
2.65,-3.9968039870670147,46.25122517784973
2.65,-3.8920842319473548,46.42575810304917
2.65,-3.7873644768276953,46.42575810304917
2.66,-3.7000980142279785,46.6002910282486
2.66,-3.612831551628262,46.6002910282486
2.67,-3.5604716740684323,46.774823953448035
2.67,-3.420845333908886,46.774823953448035
2.68,-3.3161255787892263,46.949356878647464
2.68,-3.209660494417572,47.1238898038469
2.68,-3.1206487025658616,47.1238898038469
2.69,-3.0264009229581674,47.29842272904633
2.69,-2.9845130209103035,47.29842272904633
2.7,-2.9408797896104453,47.29842272904633
2.7,-2.8501226685067405,47.472955654245766
2.7,-2.73318560862312,47.472955654245766
2.71,-2.651155133779387,47.647488579445195
2.71,-2.5761059759436304,47.647488579445195
2.72,-2.5254914276357945,47.82202150464463
2.72,-2.4818581963359363,47.82202150464463
2.73,-2.4033183799961915,47.82202150464463
2.73,-2.319542575900464,47.99655442984406
2.73,-2.2218041377887814,47.99655442984406
2.74,-2.118829711921116,48.1710873550435
2.74,-2.0263272615654166,48.1710873550435
2.75,-1.9617500792416265,48.345620280242926
2.75,-1.8622663118779497,48.345620280242926
2.75,-1.6945401707612946,48.52015320544236
2.76,-1.595580002173216,48.69468613064179
2.76,-1.5385077356330017,48.69468613064179
2.77,-1.4102260356114182,48.86921905584123
2.77,-1.31423292675173,48.86921905584123
2.78,-1.2234758056480248,49.04375198104066
2.78,-1.1239920382843482,49.21828490624009
2.78,-1.0454522219446034,49.21828490624009
2.79,-0.9285151620609834,49.39281783143953
2.79,-0.8045967851693859,49.39281783143953
